experiment_id,phase,research_question,protocol,dataset,split,threshold_selection_method,model,feature_set,transformation_condition,n_seeds,metrics,uncertainty_method,expected_runtime,dependencies,output_path,success_criterion,failure_criterion,status
P1B-GDET-V2,1,Do corrected thresholds change G-DET operating-point conclusions?,G-DET-v2 (5 outer stored family folds; per-fold inner GroupKFold(4) OOF threshold on outer-train; refit on full outer-train; freeze; single test eval),task_aligned_dataset_v1.csv primary+secondary,stored outer_fold_primary/secondary,inner family-grouped OOF max-F1 (frozen before test),all 8 existing methods,per-method (hist / selector / full 773),M0 clean,1 (7702) + 5 model seeds for RF/XGB,AUPRC AUROC F1 P R FPR + per-row scores persisted,fold std + P1D family bootstrap,~30 min CPU,none (Phase 0 workspace),revision_v2/results/gdet_v2/,protocol defensible; deltas vs v1 documented,thresholds fail to transfer (F1 collapse >0.15) -> investigate threshold stability,mandatory
P1B-GMUT-V2,1,Does retained detection under M0-M3 hold with corrected thresholds?,G-MUT-v2 (same fit; mutate held-out malicious; recall at frozen OOF threshold),task_aligned v1 primary,stored outer_fold_primary,inner family-grouped OOF max-F1,usenix rules + blocklist + opcode_xgb + selector_lr + authguard,per-method,M0 M1 M2 M3,1 (+5 model seeds),recall per tier + preservation stats,fold std + family bootstrap on per-row flags,~20 min,P1B-GDET-V2 runner,revision_v2/results/gmut_v2/,ordering of methods unchanged or honestly reported,authguard M3 recall drops materially below v1 -> report as corrected finding,mandatory
P1B-GVOL-V2,1,Compound M3+flooding breaking point under corrected thresholds,G-VOL-v2 (M3 recipe + dead-code frac 0/.25/.5/1/2),task_aligned v1 primary,stored outer_fold_primary,inner family-grouped OOF max-F1,opcode_xgb + authguard (+rules context),hist / full,M3+F{0..200} single fixed donor (v1 donor) AND multi-donor arm,1 (+5 model seeds),recall vs frac; FPR on flooded negatives (new),fold std,~25 min,P1B-GMUT-V2; P1C-DONOR-LEDGER for multi-donor arm,revision_v2/results/gvol_v2/,curve reproduced with corrected thresholds,none (descriptive),mandatory
P1C-DONOR-LEDGER,1,Implement partition-isolated donor pools with full provenance,infrastructure (no metric),benign donor pools from benign_general (primary) + benign_cleared (check arm) partitioned by family and fold role,inherits stored folds,n/a,n/a,n/a,all flooding conditions,deterministic seeded,ledger completeness; assertion pass,n/a,~1 day dev,Phase 0,revision_v2/experiments/donor_pools/ + donor_ledger.csv,per-variant record: recipient source/family/partition + donor source/family/partition + byte-range hash + seed + condition; assertions on both sides,any variant without provenance,mandatory
P1C-GADV-V2,1,Does source-balanced augmentation survive donor isolation?,G-ADV-v2 (identical to v1 but train/val/test variants drawn from partition-isolated multi-donor pools),task_aligned v1 primary,stored outer folds; val=(f+1)%5,val-fold clean-M0 max-F1 (unchanged) OR inner-OOF variant (report both),RF / XGB-hist / XGB-hist-aug / AuthGuard-M0 / AuthGuard-aug,hist / full,SEEN={M0 M1 M2 F25 F50 F100} HELD={M3 F200},3 model seeds,AUPRC AUROC P R F1 FPR retained_vs_M0,paired family-clustered bootstrap (10k reps),~2-3 h,P1C-DONOR-LEDGER,revision_v2/results/gadv_v2/,F200 recall gain CI excludes 0 under isolation,gain collapses -> report honestly; v1 gain attributed to donor adaptation,mandatory
P1C-GADV-COMPOUND,1,Does augmentation help under the unresolved compound M3+F200?,G-ADV-v2 extra test condition M3+F200 (never trained),task_aligned v1 primary,same as P1C-GADV-V2,same,AuthGuard-M0 vs AuthGuard-aug (+XGB-aug),full/hist,compound M3+F200 (donor-isolated),3 model seeds,recall FPR AUPRC,paired family-clustered bootstrap,+15 min on top of GADV-V2,P1C-GADV-V2,revision_v2/results/gadv_v2/compound/,resolves the paper's open condition either way,n/a (any outcome reportable),mandatory
P1D-BOOT-GDET,1,Family-clustered uncertainty for headline claims,pooled per-row test scores across folds; family bootstrap (retain all rows of sampled families; 10k reps),task_aligned v1 primary,pooled outer-test predictions,n/a (threshold-free AUPRC + thresholded at frozen),AuthGuard; strongest bytecode baseline; random-vs-family,full,M0,seeded blake2b,AUPRC CI; paired dAUPRC(AG - best baseline) CI; family-vs-random gap CI,percentile bootstrap,~10 min,P1B-GDET-V2 per-row scores,revision_v2/results/uncertainty/gdet_bootstrap.json,CIs computed for all 3 targets,AG-vs-baseline CI includes 0 -> soften superiority claim,mandatory
P1A-CLAIM-LIST,1,Inventory unsupported manuscript claims,static audit,main.tex + sections,n/a,n/a,n/a,n/a,n/a,n/a,claim list with line refs and replacement wording,n/a,~2 h,none,revision_v2/audits/claim_corrections.md,every flagged sentence has an approved replacement,n/a,mandatory
P2A-CONFLICT,2,What explains the 23 conflicting exact-bytecode groups?,evidence collection per group (addresses chains labels deploy metadata init/storage diffs external deps artifact evidence) + 5-way categorization,conflicting_bytecodes.csv (23 groups /103 rows),n/a,n/a,n/a,n/a,n/a,n/a,category counts; per-group dossier,n/a,~1-2 days (RPC/explorer optional),Phase 0; optional network,revision_v2/results/conflicts/conflict_report.{json;md},every group categorized (unresolved allowed),n/a,mandatory
P2A-ABSTAIN,2,Is abstention/escalation appropriate for known-conflict bytecodes?,frozen conflict-hash list as escalation trigger; measure coverage/recall/FPR effect on retained corpus,task_aligned v1 + quarantined rows,stored folds,frozen v2 thresholds,AuthGuard-v2,full,M0,1,escalation %; non-escalated recall/FPR,family bootstrap,~30 min,P1B-GDET-V2; P2A-CONFLICT,revision_v2/results/conflicts/abstention_eval.json,rule concentrates conflicts without recall loss,rule fires too broadly (>5% escalation) -> report and drop,optional
