review_id,contract_address,exact_bytecode_hash,bytecode_family_id,represented_contract_count,verified_project_name,coverage_status,llm_label,llm_confidence,llm_explanation,evidence_summary,decision,final_label,final_confidence,comment,llm_risk_categories,llm_uncertainties,represented_addresses,bytecode_length,first_observed_block,authorization_frequency,evidence_path,explorer_link,diagnostic_reasons
V2-0001,0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,000c873b0e72fd9aefe6a6faec7b399b9f7b9b96e62471eae735bc3fcf9e9d25,FAM00016,1,,PARTIAL,R2,low,0x97731d87bdfb65eff555e186cb3bdd68af2ebf13: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13527B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,13527,25613868,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x97731d87bdfb65eff555e186cb3bdd68af2ebf13.json,https://etherscan.io/address/0x97731d87bdfb65eff555e186cb3bdd68af2ebf13,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
V2-0002,0xba5acdf3a5eed369839893cb371cfe65fddf31b6,006a9b8f61b68965f454ad5a7b94012926019071ed304c7f9fc747e170252b6d,FAM00343,1,,COMPLETE,R2,medium,0xba5acdf3a5eed369839893cb371cfe65fddf31b6: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=3413B meta=53B; reachable={'CALL': 2}; unguarded=none; guards=3; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0xba5acdf3a5eed369839893cb371cfe65fddf31b6,3466,25644317,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xba5acdf3a5eed369839893cb371cfe65fddf31b6.json,https://etherscan.io/address/0xba5acdf3a5eed369839893cb371cfe65fddf31b6,
V2-0003,0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24,008f348b06cc740b1aa490387847dd72109c32f8089ea337ec6bb921d3f23084,FAM00032,1,,COMPLETE,R2,medium,0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=577B meta=53B; reachable={'SSTORE': 1}; unguarded=none; guards=4; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24,630,25614469,82,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24.json,https://etherscan.io/address/0x08bf3aa11cf3063ae49c9383e74eb72b3329aa24,label_changed_v1_R1_to_v2_R2
V2-0004,0x99322b75db5cddd8077dcbfa60995506ba231489,017d1e4bfa90364f79ba1b43a88fc07977a848a5bbc4a923032ab417a43a2319,FAM00016,1,,PARTIAL,R2,low,0x99322b75db5cddd8077dcbfa60995506ba231489: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13527B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, DELEGATECALLx1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, DELEGATECALLx1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x99322b75db5cddd8077dcbfa60995506ba231489,13527,25619222,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x99322b75db5cddd8077dcbfa60995506ba231489.json,https://etherscan.io/address/0x99322b75db5cddd8077dcbfa60995506ba231489,low_confidence; analyzer_disagreement_present_but_unreached; proxy_or_delegatecall; no_recognizable_solidity_metadata
V2-0005,0x765bb67215871759d0e54cef5796bb79c48ce2e9,0195ca0a3015d275a7e4ffeb5d2478bfd2c84168d4ab73070c804d46676c0329,FAM00245,1,,PARTIAL,R2,low,0x765bb67215871759d0e54cef5796bb79c48ce2e9: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13691B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x765bb67215871759d0e54cef5796bb79c48ce2e9,13691,25693283,12,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x765bb67215871759d0e54cef5796bb79c48ce2e9.json,https://etherscan.io/address/0x765bb67215871759d0e54cef5796bb79c48ce2e9,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
V2-0006,0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,031be10141bb66edd6483329cd170bbac784dee0b7f3c27fd0462d5916f6280a,FAM00156,1,,COMPLETE,R2,medium,0xd603deb91664bab7c7efabfce25a94f15b2ef4b7: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=3246B meta=53B; reachable={'CALL': 2}; unguarded=none; guards=1; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,3299,25626162,84,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xd603deb91664bab7c7efabfce25a94f15b2ef4b7.json,https://etherscan.io/address/0xd603deb91664bab7c7efabfce25a94f15b2ef4b7,label_changed_v1_B_to_v2_R2
V2-0007,0x8e41154636f4d84dc4c0ad78a3e5e3b357d5a7be,0465fcc4f9e385c64ae9ac9b59b54049ca51feebd878fd010208e7d67c6767f0,FAM00283,1,,PARTIAL,R2,low,0x8e41154636f4d84dc4c0ad78a3e5e3b357d5a7be: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=15825B meta=0B; reachable={'CALL': 10}; unguarded=none; guards=16; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=capabilities present in executable code were never reached by the traversal: CREATE2x1; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | Coverage is PARTIAL: capabilities present in executable code were never reached by the traversal: CREATE2x1; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0x8e41154636f4d84dc4c0ad78a3e5e3b357d5a7be,15825,25673699,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x8e41154636f4d84dc4c0ad78a3e5e3b357d5a7be.json,https://etherscan.io/address/0x8e41154636f4d84dc4c0ad78a3e5e3b357d5a7be,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
V2-0008,0x1ee2581d34819de3d77715c758d8d0c525332492,051e00a51eb1286685254ab53d24158862b74f0e96fc4ca6bf0f504ee120b2d4,FAM00079,1,,COMPLETE,R2,medium,0x1ee2581d34819de3d77715c758d8d0c525332492: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=4345B meta=53B; reachable={'CALL': 1}; unguarded=none; guards=1; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0x1ee2581d34819de3d77715c758d8d0c525332492,4398,25623365,2451,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x1ee2581d34819de3d77715c758d8d0c525332492.json,https://etherscan.io/address/0x1ee2581d34819de3d77715c758d8d0c525332492,label_changed_v1_B_to_v2_R2
V2-0009,0xcb9a7207e42210229800424149604f7993a2d1c0,0546afecf3f0822ae2d925aa1e3c1b0bc6acbd2df3fbe9420cb6ffa46c785080,FAM00136,1,,COMPLETE,R2,medium,0xcb9a7207e42210229800424149604f7993a2d1c0: reachable sensitive capability whose exploitability is conditional (guard_dominated_sensitive_capability).,exec=2568B meta=53B; reachable={'CALL': 8}; unguarded=none; guards=20; ecrecover=False; unresolved_jumps=0; coverage=COMPLETE,,,,,guard_dominated_sensitive_capability,"Guard strength was not verified: a guard comparing msg.sender against a stored authority is only as strong as whatever can write that storage slot, which this analysis does not resolve. | No verified source on Sourcify to corroborate the bytecode evidence.",0xcb9a7207e42210229800424149604f7993a2d1c0,2621,25642173,20,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xcb9a7207e42210229800424149604f7993a2d1c0.json,https://etherscan.io/address/0xcb9a7207e42210229800424149604f7993a2d1c0,label_changed_v1_B_to_v2_R2
V2-0010,0xf1adfb6e5eaa7616c1e29c59e4c845f9d09feea9,0587fcfdec19eff69947af117cd107e915ddb076826c6d86eba9742a08d11d63,FAM00016,1,,PARTIAL,R2,low,0xf1adfb6e5eaa7616c1e29c59e4c845f9d09feea9: reachable sensitive capability whose exploitability is conditional (unguarded_call_with_unproven_target_control).,"exec=13527B meta=0B; reachable={'CALL': 11}; unguarded={'CALL': 3}; guards=1; ecrecover=False; unresolved_jumps=0; coverage=PARTIAL; coverage_reasons=traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4",,,,,unguarded_call_with_unproven_target_control,"Target provenance is a constant or memory-derived value. Memory provenance is not tracked transitively back to calldata, so an attacker-chosen target cannot be ruled out or confirmed from this evidence. | Coverage is PARTIAL: traversal hit its per-pc state cap; exploration was truncated; capabilities present in executable code were never reached by the traversal: CREATE2x1, SSTOREx4; metadata trailer not separable (metadata_start_not_instruction_boundary); opcode counts may include non-executable bytes | No verified source on Sourcify to corroborate the bytecode evidence.",0xf1adfb6e5eaa7616c1e29c59e4c845f9d09feea9,13527,25608397,1,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0xf1adfb6e5eaa7616c1e29c59e4c845f9d09feea9.json,https://etherscan.io/address/0xf1adfb6e5eaa7616c1e29c59e4c845f9d09feea9,low_confidence; analyzer_disagreement_present_but_unreached; no_recognizable_solidity_metadata
