item_id,postcutoff_project_family_id,provenance_status,evidence_reference,evidence_notes,related_canonical_family_ids,related_control_projects,auditor_id,exclusion_reason
ethereum:0x00000000002da3a265e6718f233b00f26bd38ef0,PF_ANON_112A84594961,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0001,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00148,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x000004a52b5393195591c0a9fe4510b04cdaa8ad,PF_ANON_ED38CBACD20B,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0002,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00013;F00037,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x000004d1d0d37d0af6d5cbf38b8452243deb1691,PF_ANON_9EFD790F2403,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0003,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00013;F00202,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x003eddc618e7135f6683d13e22d601f61cd7cc4e,PF_ANON_BCAA9CBCD413,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0004,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x02ee251b0cf63d5f9a17134ad9cf3ecb881fa99e,PF_ANON_1BED35D53838,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0005,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00867,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x03fcd730e375f77483e262d052a5ad84f69c4d44,PF_ANON_2C9B78308659,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0006,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00867,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x06d79b53a238e5f27de66b8c22175e698e3a790d,PF_ANON_4B73B02315EF,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0007,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00097;F00663,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x0aea5493ca3a2ba0a2d1dd39d957c724d3058b5b,PF_ANON_4FFBA27B3353,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0008,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F01220,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x0db5c09fc1483df28c46a5517768af299bf25e25,PF_ANON_4DF3BCDF5EB6,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0009,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00144;F01084;F01098,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x0df4cf0d2c382a656ea9565c60e37e1042958d9c,PF_ANON_2576FEBEB5A3,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/confirmatory_snapshot/confirmatory_conservative_family_link_evidence.csv#cluster=D0010,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
