item_id,postcutoff_project_family_id,provenance_status,evidence_reference,evidence_notes,related_canonical_family_ids,related_control_projects,auditor_id,exclusion_reason
ethereum:0x000001a53f4a8a05709d171213832453b4e1ffbd,PF_ANON_E8BC40FC7202,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0001,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00013,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x0000041f1d03fefdd35a3d9ae75ce12c4ce8c768,PF_ANON_556E6F40C9F6,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0002,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00037;F00202,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x000064946ee43ea87b413939b899069672190000,PF_ANON_DEDD86E70BD9,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0003,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00710;F00904;F01033;F01214;F01230,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x01e56fd1003cf460909d5f8144ee20014ca8534b,PF_ANON_C5D14AF15738,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0004,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00011;F00897;F00923;F01270;F01302,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x029901e77902e3656ee7b207d04df5330c4450c7,PF_ANON_8B856A8BF51B,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0005,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00736;F00775;F00842;F00923;F01268,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x03bbd25e6065e1be0a3efece09cbb90e7369aa7f,PF_ANON_EABE3763B27D,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0006,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x056a25be39d351d28a49ea30e023e2cb2e380d7c,PF_ANON_211A6237E21B,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0007,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x07e24e265de698fb3b2b02315f70154619a184b0,PF_ANON_A41782E0AB72,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0008,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00129;F00142;F00790;F01285;F01309,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x09b7496152fe1136ecfdc60d79d40f56837fecf8,PF_ANON_D3FB7825B01E,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0009,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F00923;F01302,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
ethereum:0x0a16c9aa612fd6abfe59553b04a5e0529176b7c3,PF_ANON_B7A68CB2A03B,CONSERVATIVE_CLUSTER,artifact:revision_v3/results/postcutoff_snapshot/postcutoff_conservative_family_link_evidence.csv#cluster=D0010,NO_BRAND_OWNERSHIP_CLAIM; score-blind must-link cluster with overinclusive canonical and development-control similarity holds. Absence of a link does not prove project independence.,F01230,,CONSERVATIVE_LINKAGE_PIPELINE_V1,
