chain,address,proposed_label,confidence,risk_categories,coverage_status,review_path,v1_label,v1_confidence
ethereum,0x0000000000c2bf3dbcd033ba800961d4ad09e287,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000000000c2bf3dbcd033ba800961d4ad09e287.json,R2,low
ethereum,0x0000000015a9b5001fe0e565890040726bbacfac,R2,low,guard_dominated_sensitive_capability; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000000015a9b5001fe0e565890040726bbacfac.json,B,medium
ethereum,0x0000000020fe2f30453074ad916edeb653ec7e9d,R2,low,unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000000020fe2f30453074ad916edeb653ec7e9d.json,R2,low
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,R2,low,unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json,R2,low
ethereum,0x000000004f43c49e93c970e84001853a70923b03,R2,low,unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x000000004f43c49e93c970e84001853a70923b03.json,R2,medium
ethereum,0x00000000557a0daf2659cbb6a45f2beb6081e6ae,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x00000000557a0daf2659cbb6a45f2beb6081e6ae.json,R2,low
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,R2,low,guard_dominated_sensitive_capability; unguarded_state_write_or_creation,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json,R1,low
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,R2,low,unguarded_capability_under_incomplete_coverage; unguarded_call_with_unproven_target_control; unguarded_state_write_or_creation; unresolved_proxy_target,PARTIAL,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json,R2,medium
ethereum,0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,R1,medium,unguarded_call_to_calldata_supplied_target,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x0000004a25e070e8ca902cb5d6cb7c90dfd00000.json,R2,low
ethereum,0x000000cb3ed5fd4fc79c0bfe2603160412fb117e,R2,medium,unguarded_call_with_unproven_target_control,COMPLETE,/home/pollmix/Coding/AuthGuard-7702/data/llm_reviews/v2_promptv2/ethereum_0x000000cb3ed5fd4fc79c0bfe2603160412fb117e.json,B,medium
