chain,address,evidence_path,llm_proposed_label,llm_confidence,llm_risk_categories,llm_summary,llm_uncertainties,explorer_link,decision,final_label,final_confidence,corrected_risk_categories,comment
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json,R2,low,unresolved_proxy_delegatecall; upgradeable_admin_capability,"0x00000000383e8cbe298514674ea60ee1d1de50ac exposes unresolved_proxy_delegatecall, upgradeable_admin_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | Selector presence does not establish that the upgrade function is actually access-controlled -- no guard/reachability analysis was performed. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x00000000383e8cbe298514674ea60ee1d1de50ac,,,,,
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json,R1,low,destructive_capability_selfdestruct,"0x000000005c84f8fd50b21cac312528a64437030e's disassembly contains 12 apparent SELFDESTRUCT instruction(s) with no ownership/admin selector detected anywhere in the bytecode, i.e. no static evidence of an access-control gate on this capability -- flagged R1 despite low confidence because of the disassembler caveat above.","Linear-sweep disassembly (no jump-target/CFG validation) can misdecode data bytes -- e.g. CBOR metadata, PUSH immediates, or padding -- as opcodes including SELFDESTRUCT (0xFF). This SELFDESTRUCT count is not confirmed to be reachable code.",https://etherscan.io/address/0x000000005c84f8fd50b21cac312528a64437030e,,,,,
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json,R2,medium,unresolved_proxy_delegatecall,"0x000000009b1d0af20d8c6d0a44e162d11f9b8f00 exposes unresolved_proxy_delegatecall based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state.",https://etherscan.io/address/0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,,,,,
ethereum,0x0000fb7702036ff9f76044a501ac1aa74cbab16b,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x0000fb7702036ff9f76044a501ac1aa74cbab16b.json,B,high,,0x0000fb7702036ff9f76044a501ac1aa74cbab16b: no security-relevant capability was identified from the available static evidence.,,https://etherscan.io/address/0x0000fb7702036ff9f76044a501ac1aa74cbab16b,,,,,
ethereum,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9.json,B,medium,,0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9: no security-relevant capability was identified from the available static evidence.,No verified source was found on Sourcify; this conclusion rests on bytecode-derived static evidence only.,https://etherscan.io/address/0x027f5eed8c0f8b9d8e68f60dc437175af7b52ff9,,,,,
ethereum,0x03a46a241aa7073552652032aba85be46f647795,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x03a46a241aa7073552652032aba85be46f647795.json,B,medium,,0x03a46a241aa7073552652032aba85be46f647795: no security-relevant capability was identified from the available static evidence.,No verified source was found on Sourcify; this conclusion rests on bytecode-derived static evidence only.,https://etherscan.io/address/0x03a46a241aa7073552652032aba85be46f647795,,,,,
ethereum,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x057c92bd351f01573d6ca9dfe23035f1b7aa9147.json,B,high,,0x057c92bd351f01573d6ca9dfe23035f1b7aa9147: no security-relevant capability was identified from the available static evidence.,,https://etherscan.io/address/0x057c92bd351f01573d6ca9dfe23035f1b7aa9147,,,,,
ethereum,0x05ae73c5925d843864ae6f261f3175de2ebcd963,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x05ae73c5925d843864ae6f261f3175de2ebcd963.json,R2,low,token_movement_capability,"0x05ae73c5925d843864ae6f261f3175de2ebcd963 exposes token_movement_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.",Whether token-movement functions are gated to an authorized caller (e.g. the delegating EOA itself via an execute()-style dispatcher) cannot be determined from selector presence alone. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.,https://etherscan.io/address/0x05ae73c5925d843864ae6f261f3175de2ebcd963,,,,,
ethereum,0x09b7496152fe1136ecfdc60d79d40f56837fecf8,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x09b7496152fe1136ecfdc60d79d40f56837fecf8.json,R2,low,ownership_admin_capability; token_movement_capability,"0x09b7496152fe1136ecfdc60d79d40f56837fecf8 exposes ownership_admin_capability, token_movement_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.",Selector presence does not establish that this function is access-controlled -- no guard/reachability analysis was performed. | Whether token-movement functions are gated to an authorized caller (e.g. the delegating EOA itself via an execute()-style dispatcher) cannot be determined from selector presence alone. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.,https://etherscan.io/address/0x09b7496152fe1136ecfdc60d79d40f56837fecf8,,,,,
ethereum,0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v1/ethereum_0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f.json,R2,low,ownership_admin_capability; token_movement_capability; destructive_capability_selfdestruct,"0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f exposes ownership_admin_capability, token_movement_capability, destructive_capability_selfdestruct based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","Selector presence does not establish that this function is access-controlled -- no guard/reachability analysis was performed. | Whether token-movement functions are gated to an authorized caller (e.g. the delegating EOA itself via an execute()-style dispatcher) cannot be determined from selector presence alone. | As above, linear-sweep SELFDESTRUCT counts are not confirmed reachable code. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x0a3dd3fbf427316d270fbc9fcaaedf7b8558201f,,,,,
