chain,address,evidence_path,llm_proposed_label,llm_confidence,llm_risk_categories,llm_summary,llm_uncertainties,explorer_link,decision,final_label,final_confidence,corrected_risk_categories,comment
ethereum,0x0000000000c2bf3dbcd033ba800961d4ad09e287,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000000c2bf3dbcd033ba800961d4ad09e287.json,R2,low,unresolved_proxy_delegatecall; token_movement_capability,"0x0000000000c2bf3dbcd033ba800961d4ad09e287 exposes unresolved_proxy_delegatecall, token_movement_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | Whether token-movement functions are gated to an authorized caller (e.g. the delegating EOA itself via an execute()-style dispatcher) cannot be determined from selector presence alone. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x0000000000c2bf3dbcd033ba800961d4ad09e287,,,,,
ethereum,0x0000000015a9b5001fe0e565890040726bbacfac,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000015a9b5001fe0e565890040726bbacfac.json,B,medium,,0x0000000015a9b5001fe0e565890040726bbacfac: no security-relevant capability was identified from the available static evidence.,No verified source was found on Sourcify; this conclusion rests on bytecode-derived static evidence only.,https://etherscan.io/address/0x0000000015a9b5001fe0e565890040726bbacfac,,,,,
ethereum,0x0000000020fe2f30453074ad916edeb653ec7e9d,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000000020fe2f30453074ad916edeb653ec7e9d.json,R2,low,unresolved_proxy_delegatecall; upgradeable_admin_capability,"0x0000000020fe2f30453074ad916edeb653ec7e9d exposes unresolved_proxy_delegatecall, upgradeable_admin_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here. Documented as Biconomy_Nexus_v1.3.1.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | Selector presence does not establish that the upgrade function is actually access-controlled -- no guard/reachability analysis was performed. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x0000000020fe2f30453074ad916edeb653ec7e9d,,,,,
ethereum,0x00000000383e8cbe298514674ea60ee1d1de50ac,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x00000000383e8cbe298514674ea60ee1d1de50ac.json,R2,low,unresolved_proxy_delegatecall; upgradeable_admin_capability,"0x00000000383e8cbe298514674ea60ee1d1de50ac exposes unresolved_proxy_delegatecall, upgradeable_admin_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | Selector presence does not establish that the upgrade function is actually access-controlled -- no guard/reachability analysis was performed. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x00000000383e8cbe298514674ea60ee1d1de50ac,,,,,
ethereum,0x000000004f43c49e93c970e84001853a70923b03,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000004f43c49e93c970e84001853a70923b03.json,R2,medium,unresolved_proxy_delegatecall; upgradeable_admin_capability,"0x000000004f43c49e93c970e84001853a70923b03 exposes unresolved_proxy_delegatecall, upgradeable_admin_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | Selector presence does not establish that the upgrade function is actually access-controlled -- no guard/reachability analysis was performed.",https://etherscan.io/address/0x000000004f43c49e93c970e84001853a70923b03,,,,,
ethereum,0x00000000557a0daf2659cbb6a45f2beb6081e6ae,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x00000000557a0daf2659cbb6a45f2beb6081e6ae.json,R2,low,unresolved_proxy_delegatecall,"0x00000000557a0daf2659cbb6a45f2beb6081e6ae exposes unresolved_proxy_delegatecall based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.",https://etherscan.io/address/0x00000000557a0daf2659cbb6a45f2beb6081e6ae,,,,,
ethereum,0x000000005c84f8fd50b21cac312528a64437030e,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000005c84f8fd50b21cac312528a64437030e.json,R1,low,destructive_capability_selfdestruct,"0x000000005c84f8fd50b21cac312528a64437030e's disassembly contains 12 apparent SELFDESTRUCT instruction(s) with no ownership/admin selector detected anywhere in the bytecode, i.e. no static evidence of an access-control gate on this capability -- flagged R1 despite low confidence because of the disassembler caveat above.","Linear-sweep disassembly (no jump-target/CFG validation) can misdecode data bytes -- e.g. CBOR metadata, PUSH immediates, or padding -- as opcodes including SELFDESTRUCT (0xFF). This SELFDESTRUCT count is not confirmed to be reachable code.",https://etherscan.io/address/0x000000005c84f8fd50b21cac312528a64437030e,,,,,
ethereum,0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000009b1d0af20d8c6d0a44e162d11f9b8f00.json,R2,medium,unresolved_proxy_delegatecall,"0x000000009b1d0af20d8c6d0a44e162d11f9b8f00 exposes unresolved_proxy_delegatecall based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.","DELEGATECALL target(s) were not statically resolved to a fixed, verifiable address; exploitability depends on what code the delegate proxies to, which can change (upgradeable proxy) or depend on runtime state.",https://etherscan.io/address/0x000000009b1d0af20d8c6d0a44e162d11f9b8f00,,,,,
ethereum,0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x0000004a25e070e8ca902cb5d6cb7c90dfd00000.json,R2,low,ownership_admin_capability; token_movement_capability,"0x0000004a25e070e8ca902cb5d6cb7c90dfd00000 exposes ownership_admin_capability, token_movement_capability based on static evidence; actual exploitability depends on access-control state, proxy target, or further analysis not performed here.",Selector presence does not establish that this function is access-controlled -- no guard/reachability analysis was performed. | Whether token-movement functions are gated to an authorized caller (e.g. the delegating EOA itself via an execute()-style dispatcher) cannot be determined from selector presence alone. | No verified source was found on Sourcify to corroborate bytecode-derived evidence.,https://etherscan.io/address/0x0000004a25e070e8ca902cb5d6cb7c90dfd00000,,,,,
ethereum,0x000000cb3ed5fd4fc79c0bfe2603160412fb117e,/home/pollmix/Coding/AuthGuard-7702/data/evidence_packages/v2/ethereum_0x000000cb3ed5fd4fc79c0bfe2603160412fb117e.json,B,medium,,0x000000cb3ed5fd4fc79c0bfe2603160412fb117e: no security-relevant capability was identified from the available static evidence.,No verified source was found on Sourcify; this conclusion rests on bytecode-derived static evidence only.,https://etherscan.io/address/0x000000cb3ed5fd4fc79c0bfe2603160412fb117e,,,,,
