model,total_instantiated_params,trainable_params,active_forward_params,checkpoint_size_bytes,model_state_size_bytes,peak_inference_memory_bytes,median_forward_latency_ms,config
v2_authguardfusion_all_views_active,181877,181877,181103,737868,737548,32888320,5.059022514615208,"{""vocab_size"": 227, ""dense_dim"": 261, ""ngram_dim"": 512, ""embedding_dim"": 32, ""view_dim"": 64, ""fusion_dim"": 128, ""auxiliary_dim"": 6, ""dropout"": 0.15, ""active_views"": [true, true, true]}"
v2_authguard_seq_as_reported_181877,181877,181877,63266,737868,737548,33878528,3.3766374981496483,"{""vocab_size"": 227, ""dense_dim"": 261, ""ngram_dim"": 512, ""embedding_dim"": 32, ""view_dim"": 64, ""fusion_dim"": 128, ""auxiliary_dim"": 6, ""dropout"": 0.15, ""active_views"": [true, false, false]}"
authguard_reference_v3_standalone,38562,38562,38562,159356,159164,106049536,4.252953978721052,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""attention""}"
flat_cnn_2048,154177,154177,154177,619985,619793,64341504,3.860261960653588,"{""vocab_size"": 227, ""max_len"": 2048, ""embedding_dim"": 64, ""channels"": 128, ""dropout"": 0.15}"
chunk_mean_2048,38497,38497,38497,158402,158210,33048576,2.6003110106103122,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 8, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""mean""}"
chunk_attention_2048,38562,38562,38562,159356,159164,33206272,2.618720493046567,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 8, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""attention""}"
flat_cnn_8192,154177,154177,154177,619985,619793,107559424,6.035554979462177,"{""vocab_size"": 227, ""max_len"": 8192, ""embedding_dim"": 64, ""channels"": 128, ""dropout"": 0.15}"
chunk_mean_8192,38497,38497,38497,158402,158210,65614848,3.319834533613175,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 32, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""mean""}"
chunk_attention_8192,38562,38562,38562,159356,159164,65772544,3.3291425206698477,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 32, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""attention""}"
flat_cnn_16384,154177,154177,154177,619985,619793,192873984,11.252542492002249,"{""vocab_size"": 227, ""max_len"": 16384, ""embedding_dim"": 64, ""channels"": 128, ""dropout"": 0.15}"
chunk_mean_16384,38497,38497,38497,158402,158210,109143040,4.252899496350437,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""mean""}"
chunk_max_16384,38497,38497,38497,158402,158210,109298688,4.236237524310127,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""max""}"
chunk_attention_16384,38562,38562,38562,159356,159164,108215296,4.251551494235173,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""dropout"": 0.15, ""aggregation"": ""attention""}"
authguard_multiscale,59299,59299,59234,243824,243504,108695552,4.310268006520346,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""view_dim"": 64, ""fusion_dim"": 128, ""dense_dim"": 261, ""ngram_dim"": 512, ""dropout"": 0.15, ""use_multiscale"": true, ""use_dense"": false, ""use_ngram"": false}"
authguard_sequence_dense,97646,97646,97645,398436,398116,109012480,4.288045485736802,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""view_dim"": 64, ""fusion_dim"": 128, ""dense_dim"": 261, ""ngram_dim"": 512, ""dropout"": 0.15, ""use_multiscale"": false, ""use_dense"": true, ""use_ngram"": false}"
authguard_sequence_ngram,130276,130276,130276,528868,528548,109673472,4.286091978428885,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""view_dim"": 64, ""fusion_dim"": 128, ""dense_dim"": 261, ""ngram_dim"": 512, ""dropout"": 0.15, ""use_multiscale"": false, ""use_dense"": false, ""use_ngram"": true}"
authguard_all_views,181103,181103,181103,734226,733842,110615552,4.31012301123701,"{""vocab_size"": 227, ""chunk_size"": 256, ""max_chunks"": 64, ""embedding_dim"": 32, ""channel_dim"": 64, ""view_dim"": 64, ""fusion_dim"": 128, ""dense_dim"": 261, ""ngram_dim"": 512, ""dropout"": 0.15, ""use_multiscale"": false, ""use_dense"": true, ""use_ngram"": true}"
